gender,race/ethnicity,parental level of education,lunch,age,country_region,years_in_us,family_income_usd,financial_support,work_hours_per_week,scholarship_status,housing_type,study_hours_per_week,attendance_percentage,sleep_hours_per_day,screen_time_hours,campus_activity_participation,library_usage_hours,stress_level,homesickness_level,academic_pressure,social_support_score,visa_type,work_restriction_impact,prev_sem_gpa,english_proficiency_score,semester_gpa
male,group D,master's degree,standard,24.0,Brazil,0.0,138358.0,Loan,24.0,Yes,With relatives,12.0,82.0,5.3,9.3,3.0,2.5,3.0,8.0,10.0,1.0,F1,6.0,2.42,117.3,1.79
female,group A,bachelor's degree,standard,24.0,Brazil,0.0,54521.0,Family,7.0,Yes,On-campus,5.0,60.0,7.8,4.3,1.0,14.7,2.0,1.0,3.0,5.0,F1,6.0,2.33,100.5,2.41
male,group D,master's degree,standard,25.0,South Korea,3.0,142788.0,Self-funded,25.0,No,On-campus,32.0,84.0,8.6,5.9,1.0,1.6,5.0,3.0,1.0,9.0,F1,6.0,2.08,108.0,2.98
male,group C,some high school,free/reduced,22.0,South Korea,0.0,117239.0,Family,29.0,Yes,Off-campus,18.0,60.0,6.4,5.5,2.0,14.0,6.0,7.0,7.0,9.0,F1,8.0,3.12,114.2,2.3
male,group E,some college,free/reduced,20.0,Germany,2.0,46928.0,Family,28.0,Yes,On-campus,25.0,74.0,5.6,8.1,3.0,13.7,7.0,1.0,5.0,2.0,F1,4.0,3.09,98.7,2.45
female,group C,some college,standard,29.0,China,2.0,38322.0,Family,9.0,Yes,On-campus,34.0,81.0,7.9,5.4,0.0,7.9,3.0,1.0,10.0,7.0,F1,3.0,2.41,113.4,2.75
male,group D,bachelor's degree,free/reduced,25.0,Germany,0.0,77714.0,Loan,16.0,No,Off-campus,25.0,79.0,7.4,9.5,0.0,10.9,4.0,5.0,7.0,1.0,F1,6.0,3.39,87.1,2.46
male,group C,bachelor's degree,standard,23.0,Nigeria,0.0,107896.0,Family,1.0,No,With relatives,13.0,60.0,8.4,9.2,0.0,6.5,8.0,9.0,1.0,3.0,F1,4.0,3.48,86.4,2.22
male,group B,some high school,standard,28.0,India,3.0,82292.0,Family,5.0,No,Off-campus,21.0,60.0,7.5,9.0,2.0,9.5,4.0,6.0,8.0,6.0,J1,2.0,2.52,106.3,2.23
male,group E,high school,standard,20.0,Brazil,0.0,49055.0,Self-funded,25.0,No,With relatives,9.0,60.0,5.2,2.6,2.0,5.1,7.0,10.0,3.0,9.0,F1,6.0,2.69,114.8,2.02
female,group C,associate's degree,standard,18.0,China,3.0,62891.0,Self-funded,4.0,No,Off-campus,35.0,66.0,8.7,8.8,4.0,4.5,6.0,2.0,7.0,10.0,F1,10.0,3.98,115.7,3.1
male,group D,some college,standard,20.0,India,3.0,101912.0,Family,27.0,No,With relatives,23.0,61.0,4.5,8.3,0.0,8.7,7.0,9.0,3.0,2.0,F1,5.0,2.75,105.7,1.98
female,group D,some high school,standard,22.0,China,0.0,26588.0,Self-funded,29.0,Yes,Off-campus,37.0,72.0,5.3,2.8,0.0,7.5,1.0,6.0,3.0,7.0,F1,9.0,3.52,101.0,3.01
female,group C,some college,free/reduced,20.0,Other,1.0,110536.0,Self-funded,8.0,No,With relatives,17.0,62.0,6.6,2.9,2.0,8.7,3.0,5.0,10.0,4.0,F1,6.0,2.91,93.3,2.14
female,group E,some college,free/reduced,18.0,Other,1.0,26304.0,Family,4.0,No,Off-campus,18.0,60.0,6.8,2.8,2.0,4.3,6.0,5.0,9.0,2.0,F1,3.0,3.59,119.2,2.13
male,group A,high school,standard,22.0,UK,3.0,27345.0,Loan,17.0,No,With relatives,37.0,60.0,4.1,2.1,4.0,5.5,3.0,3.0,2.0,3.0,F1,5.0,3.54,92.8,2.81
male,group D,some college,standard,27.0,Other,0.0,49300.0,Family,25.0,No,Off-campus,33.0,73.0,7.9,6.4,4.0,1.3,7.0,6.0,4.0,6.0,F1,10.0,3.34,109.8,2.71
female,group C,some college,free/reduced,24.0,Germany,1.0,44259.0,Self-funded,19.0,No,On-campus,14.0,60.0,5.8,9.8,1.0,0.8,9.0,4.0,6.0,10.0,F1,8.0,3.71,101.3,2.41
male,group B,some high school,standard,24.0,Other,0.0,111006.0,Loan,8.0,No,With relatives,35.0,84.0,6.0,5.5,3.0,3.8,3.0,10.0,3.0,9.0,F1,9.0,3.88,104.3,2.99
male,group C,associate's degree,free/reduced,28.0,South Korea,0.0,108553.0,Scholarship,16.0,No,Off-campus,10.0,68.0,8.0,6.3,0.0,1.1,1.0,2.0,10.0,8.0,F1,8.0,3.16,95.7,2.55
female,group D,bachelor's degree,standard,26.0,Brazil,0.0,35352.0,Loan,26.0,No,With relatives,5.0,75.0,5.9,9.7,0.0,1.6,10.0,3.0,10.0,10.0,J1,3.0,2.47,118.6,1.96
male,group E,associate's degree,free/reduced,27.0,Germany,4.0,149350.0,Self-funded,16.0,No,With relatives,11.0,100.0,4.2,4.0,4.0,12.2,6.0,9.0,7.0,9.0,F1,9.0,2.8,102.9,2.19
male,group A,some high school,standard,27.0,India,0.0,53365.0,Loan,11.0,No,Off-campus,31.0,67.0,4.9,8.9,4.0,0.6,1.0,9.0,7.0,4.0,J1,3.0,3.52,117.5,2.47
male,group A,bachelor's degree,standard,29.0,UK,4.0,39446.0,Family,6.0,No,With relatives,25.0,67.0,8.8,6.4,1.0,9.9,1.0,6.0,5.0,4.0,Other,8.0,3.3,80.3,2.71
female,group B,associate's degree,standard,20.0,UK,3.0,22336.0,Scholarship,26.0,No,Off-campus,32.0,70.0,4.4,6.6,3.0,4.1,8.0,10.0,3.0,9.0,Other,10.0,2.36,102.9,2.29
male,group D,bachelor's degree,standard,24.0,UK,1.0,82032.0,Scholarship,2.0,Yes,On-campus,20.0,60.0,5.8,4.7,1.0,13.1,9.0,10.0,2.0,8.0,J1,9.0,2.1,108.7,2.02
male,group D,some high school,standard,18.0,India,1.0,95415.0,Scholarship,9.0,No,With relatives,27.0,67.0,6.5,6.5,3.0,7.3,2.0,9.0,4.0,2.0,F1,7.0,3.37,109.8,2.45
female,group C,some college,standard,21.0,India,1.0,117852.0,Self-funded,1.0,Yes,On-campus,24.0,89.0,6.5,2.6,0.0,4.6,9.0,4.0,4.0,8.0,F1,4.0,2.5,116.2,2.52
female,group E,high school,free/reduced,21.0,India,1.0,118876.0,Self-funded,24.0,No,With relatives,29.0,74.0,4.0,8.1,1.0,7.8,5.0,5.0,8.0,1.0,F1,10.0,3.0,80.2,2.18
male,group B,some college,free/reduced,22.0,India,1.0,27521.0,Scholarship,2.0,No,With relatives,32.0,60.0,6.5,4.3,4.0,5.7,8.0,10.0,8.0,9.0,F1,9.0,3.49,80.0,2.35
female,group B,associate's degree,standard,24.0,UK,1.0,91707.0,Loan,15.0,No,With relatives,9.0,86.0,5.9,9.1,1.0,8.5,7.0,6.0,5.0,9.0,J1,3.0,3.13,98.9,2.38
male,group D,associate's degree,free/reduced,24.0,UK,1.0,43481.0,Scholarship,1.0,Yes,Off-campus,25.0,62.0,8.9,4.9,1.0,1.7,7.0,9.0,6.0,8.0,Other,3.0,2.17,81.2,2.22
male,group B,associate's degree,free/reduced,28.0,China,3.0,38474.0,Loan,27.0,No,On-campus,22.0,78.0,4.8,3.1,0.0,15.0,4.0,5.0,8.0,5.0,F1,2.0,2.37,119.0,2.21
female,group E,some college,free/reduced,21.0,Germany,0.0,66760.0,Loan,23.0,Yes,With relatives,10.0,88.0,5.8,7.6,4.0,6.4,2.0,8.0,1.0,5.0,F1,10.0,2.44,88.9,2.38
male,group B,master's degree,free/reduced,24.0,Brazil,2.0,75718.0,Self-funded,9.0,No,Off-campus,33.0,60.0,6.1,3.3,4.0,5.2,5.0,1.0,5.0,3.0,F1,3.0,2.52,98.9,2.51
male,group C,high school,standard,28.0,Other,4.0,64629.0,Loan,5.0,No,With relatives,23.0,60.0,6.0,8.0,2.0,10.7,3.0,5.0,4.0,5.0,F1,1.0,3.13,82.4,2.52
female,group E,master's degree,standard,20.0,Other,2.0,65232.0,Scholarship,21.0,No,Off-campus,37.0,92.0,7.3,9.7,2.0,5.5,9.0,10.0,4.0,4.0,F1,4.0,3.01,100.9,2.47
female,group C,bachelor's degree,standard,23.0,South Korea,2.0,106544.0,Self-funded,25.0,No,With relatives,5.0,100.0,5.1,8.2,2.0,12.5,6.0,1.0,2.0,1.0,F1,8.0,2.41,95.2,2.26
male,group C,high school,free/reduced,29.0,UK,0.0,87169.0,Family,10.0,No,On-campus,7.0,60.0,5.1,2.2,0.0,6.8,1.0,10.0,10.0,9.0,J1,5.0,2.14,81.8,1.84
female,group B,master's degree,free/reduced,19.0,South Korea,0.0,147941.0,Family,22.0,Yes,On-campus,25.0,76.0,7.6,6.8,1.0,10.8,3.0,6.0,1.0,10.0,F1,2.0,2.34,93.4,2.84
female,group B,high school,standard,27.0,Germany,0.0,70669.0,Self-funded,6.0,No,With relatives,39.0,83.0,6.5,7.6,4.0,1.6,4.0,7.0,6.0,4.0,J1,3.0,3.97,95.7,2.85
female,group C,some college,free/reduced,26.0,Germany,1.0,98021.0,Scholarship,26.0,No,Off-campus,7.0,75.0,6.1,8.6,4.0,12.7,9.0,5.0,7.0,3.0,F1,1.0,2.94,119.6,1.89
male,group A,high school,standard,22.0,South Korea,3.0,129153.0,Family,28.0,No,With relatives,29.0,73.0,4.8,2.4,1.0,11.0,6.0,1.0,5.0,6.0,J1,2.0,3.73,88.3,2.79
male,group E,some high school,standard,23.0,UK,1.0,89184.0,Family,14.0,No,Off-campus,24.0,88.0,4.9,5.8,4.0,3.2,4.0,6.0,8.0,1.0,F1,1.0,3.7,101.8,2.37
female,group D,some college,standard,29.0,South Korea,3.0,67945.0,Loan,5.0,Yes,With relatives,38.0,86.0,4.1,6.3,1.0,2.2,1.0,10.0,9.0,5.0,J1,2.0,3.02,119.5,2.47
female,group C,associate's degree,standard,29.0,Other,3.0,33140.0,Loan,19.0,No,Off-campus,25.0,67.0,4.5,3.4,0.0,4.7,8.0,5.0,2.0,7.0,F1,3.0,3.41,111.7,2.54
female,group C,bachelor's degree,free/reduced,29.0,China,2.0,146468.0,Scholarship,26.0,No,On-campus,27.0,60.0,6.8,4.6,0.0,14.6,2.0,6.0,4.0,2.0,F1,1.0,2.39,119.7,2.35
female,group C,master's degree,standard,29.0,Other,2.0,103457.0,Self-funded,8.0,No,With relatives,10.0,91.0,8.5,5.5,0.0,3.9,8.0,10.0,9.0,10.0,F1,9.0,3.38,118.7,2.27
female,group B,high school,free/reduced,21.0,Nigeria,3.0,34357.0,Scholarship,21.0,Yes,On-campus,17.0,60.0,5.4,8.7,1.0,6.8,6.0,7.0,5.0,9.0,J1,10.0,2.54,99.6,2.2
female,group C,associate's degree,standard,28.0,UK,3.0,131672.0,Self-funded,19.0,Yes,On-campus,27.0,77.0,5.6,9.4,1.0,0.5,8.0,7.0,3.0,6.0,F1,5.0,3.66,107.9,2.57
female,group B,master's degree,free/reduced,27.0,UK,1.0,88673.0,Family,11.0,No,With relatives,13.0,70.0,4.6,7.0,3.0,6.0,6.0,2.0,6.0,2.0,F1,8.0,2.17,84.4,1.97
female,group D,some high school,standard,24.0,Brazil,1.0,141673.0,Loan,18.0,No,With relatives,21.0,100.0,5.9,5.2,4.0,8.6,5.0,3.0,3.0,8.0,F1,5.0,3.55,97.6,2.97
male,group C,master's degree,free/reduced,29.0,India,2.0,85633.0,Scholarship,19.0,Yes,Off-campus,6.0,68.0,4.2,4.0,4.0,14.3,5.0,6.0,5.0,8.0,F1,8.0,2.2,112.4,2.0
female,group C,some college,free/reduced,26.0,Nigeria,0.0,96943.0,Scholarship,2.0,No,Off-campus,23.0,64.0,8.6,9.9,3.0,7.8,10.0,3.0,3.0,1.0,J1,7.0,3.76,100.2,2.46
female,group E,high school,standard,24.0,Germany,3.0,116111.0,Self-funded,14.0,No,On-campus,23.0,60.0,7.4,9.9,3.0,12.3,10.0,2.0,6.0,1.0,F1,4.0,2.61,108.1,2.08
female,group D,associate's degree,standard,18.0,UK,1.0,98258.0,Self-funded,1.0,No,Off-campus,11.0,69.0,9.0,9.4,0.0,8.2,8.0,4.0,10.0,1.0,F1,7.0,3.31,109.8,2.0
male,group C,some high school,free/reduced,18.0,South Korea,2.0,32924.0,Scholarship,29.0,No,Off-campus,24.0,60.0,8.4,8.3,3.0,0.6,7.0,5.0,5.0,4.0,Other,6.0,2.98,90.1,2.37
male,group C,associate's degree,free/reduced,26.0,Nigeria,1.0,89286.0,Self-funded,20.0,No,With relatives,13.0,67.0,6.4,4.6,1.0,4.7,8.0,10.0,9.0,4.0,F1,3.0,2.73,115.0,1.71
male,group E,high school,standard,28.0,Brazil,3.0,113269.0,Scholarship,1.0,No,Off-campus,21.0,76.0,6.6,8.5,2.0,8.6,8.0,9.0,3.0,8.0,J1,9.0,3.29,98.4,2.44
male,group D,some high school,standard,26.0,Germany,3.0,147563.0,Scholarship,21.0,No,On-campus,31.0,66.0,5.0,5.3,1.0,14.3,7.0,3.0,6.0,1.0,F1,10.0,3.9,88.4,2.46
male,group B,some high school,free/reduced,21.0,India,4.0,94071.0,Scholarship,2.0,No,Off-campus,6.0,60.0,6.3,4.6,3.0,12.9,2.0,3.0,8.0,10.0,F1,9.0,2.08,114.6,2.23
female,group C,bachelor's degree,standard,26.0,India,0.0,77326.0,Family,5.0,Yes,On-campus,23.0,88.0,8.5,8.0,4.0,3.4,9.0,6.0,7.0,3.0,F1,5.0,3.84,96.7,2.46
female,group E,associate's degree,standard,20.0,Brazil,4.0,110023.0,Self-funded,14.0,Yes,With relatives,21.0,65.0,4.3,2.6,1.0,3.3,7.0,5.0,6.0,1.0,F1,8.0,3.22,110.0,2.06
male,group D,some college,standard,24.0,Brazil,2.0,140101.0,Loan,26.0,No,On-campus,9.0,83.0,8.3,2.4,4.0,3.0,6.0,6.0,2.0,9.0,F1,7.0,3.61,101.9,2.72
female,group B,some high school,standard,23.0,South Korea,1.0,50651.0,Loan,9.0,Yes,Off-campus,22.0,64.0,5.7,5.6,1.0,13.8,9.0,7.0,7.0,10.0,F1,9.0,2.77,95.3,2.2
male,group D,some college,standard,25.0,UK,2.0,90202.0,Self-funded,8.0,No,With relatives,11.0,62.0,8.5,5.6,4.0,12.8,1.0,3.0,8.0,9.0,F1,7.0,2.94,112.4,2.58
female,group C,master's degree,standard,28.0,India,3.0,68777.0,Scholarship,0.0,Yes,Off-campus,21.0,84.0,8.7,9.2,1.0,11.6,2.0,5.0,1.0,7.0,F1,4.0,3.74,103.4,3.11
male,group D,associate's degree,standard,26.0,Germany,4.0,36994.0,Loan,15.0,Yes,With relatives,8.0,60.0,7.4,3.0,4.0,5.9,1.0,8.0,9.0,8.0,J1,4.0,2.83,95.6,2.17
male,group C,some high school,free/reduced,22.0,Nigeria,4.0,87263.0,Loan,5.0,No,With relatives,29.0,69.0,7.3,3.0,2.0,7.6,10.0,4.0,4.0,1.0,F1,8.0,3.07,84.4,2.31
male,group E,high school,free/reduced,18.0,Germany,4.0,79634.0,Self-funded,8.0,No,Off-campus,9.0,60.0,6.3,3.2,0.0,7.0,3.0,10.0,8.0,5.0,F1,6.0,2.04,115.8,1.74
female,group B,some college,free/reduced,20.0,China,2.0,120158.0,Loan,26.0,No,Off-campus,34.0,60.0,8.2,2.2,1.0,3.8,5.0,2.0,10.0,2.0,J1,9.0,2.32,81.4,2.3
female,group B,bachelor's degree,free/reduced,27.0,China,3.0,30800.0,Scholarship,3.0,Yes,With relatives,16.0,79.0,8.8,2.6,2.0,7.6,1.0,4.0,7.0,1.0,F1,10.0,3.28,114.5,2.52
female,group C,associate's degree,standard,29.0,Brazil,1.0,57823.0,Self-funded,26.0,Yes,With relatives,8.0,84.0,7.9,7.3,0.0,0.5,4.0,2.0,10.0,3.0,F1,7.0,3.43,94.4,2.34
female,group D,some college,free/reduced,25.0,South Korea,1.0,128575.0,Scholarship,27.0,No,Off-campus,28.0,81.0,7.1,5.5,1.0,2.0,8.0,3.0,7.0,7.0,Other,7.0,3.17,105.6,2.62
male,group C,associate's degree,standard,28.0,China,2.0,83878.0,Loan,1.0,No,On-campus,33.0,77.0,7.0,8.1,2.0,13.3,6.0,4.0,2.0,1.0,Other,4.0,2.29,116.9,2.49
female,group B,associate's degree,standard,23.0,India,4.0,38708.0,Loan,28.0,No,Off-campus,13.0,69.0,8.2,9.9,2.0,11.3,1.0,4.0,1.0,2.0,F1,3.0,2.89,86.1,2.59
male,group C,some college,standard,25.0,Germany,0.0,32819.0,Scholarship,3.0,No,With relatives,8.0,60.0,6.7,7.3,2.0,6.3,1.0,10.0,4.0,2.0,F1,8.0,2.71,102.7,2.0
male,group D,some high school,standard,26.0,Germany,2.0,94905.0,Family,0.0,No,Off-campus,28.0,71.0,8.0,2.4,3.0,7.8,3.0,9.0,2.0,4.0,F1,7.0,2.99,110.6,2.6
male,group E,bachelor's degree,standard,21.0,Brazil,2.0,83870.0,Loan,18.0,No,On-campus,18.0,62.0,6.5,2.8,4.0,5.5,10.0,10.0,8.0,3.0,F1,4.0,3.74,110.3,1.88
male,group E,high school,standard,18.0,UK,3.0,29283.0,Family,25.0,No,Off-campus,9.0,80.0,4.3,9.0,0.0,11.1,8.0,6.0,10.0,3.0,F1,4.0,3.55,101.0,1.88
female,group B,some college,free/reduced,18.0,UK,1.0,50573.0,Loan,24.0,No,With relatives,22.0,81.0,5.9,6.2,4.0,11.8,8.0,9.0,7.0,10.0,F1,1.0,2.17,105.0,2.15
female,group B,some college,free/reduced,27.0,Nigeria,2.0,98707.0,Family,9.0,No,Off-campus,23.0,61.0,6.2,8.6,4.0,11.4,3.0,4.0,8.0,5.0,F1,7.0,3.78,110.3,2.54
male,group D,some high school,free/reduced,21.0,Brazil,2.0,50933.0,Family,20.0,No,With relatives,16.0,79.0,4.7,8.9,4.0,10.8,7.0,9.0,6.0,3.0,F1,1.0,2.94,113.6,1.95
male,group C,some college,free/reduced,29.0,Other,4.0,25774.0,Family,14.0,No,With relatives,22.0,60.0,4.5,9.4,2.0,3.1,3.0,9.0,1.0,7.0,F1,10.0,3.49,110.5,2.55
female,group C,high school,free/reduced,24.0,Nigeria,4.0,92055.0,Scholarship,26.0,No,Off-campus,21.0,62.0,6.7,9.6,4.0,5.1,4.0,6.0,9.0,5.0,F1,10.0,2.28,94.2,2.08
male,group C,associate's degree,free/reduced,19.0,Other,0.0,30983.0,Family,21.0,Yes,With relatives,34.0,60.0,4.4,6.4,3.0,7.0,9.0,5.0,6.0,4.0,F1,4.0,3.34,119.9,2.29
male,group E,high school,standard,20.0,UK,3.0,116468.0,Family,18.0,Yes,With relatives,28.0,91.0,5.5,4.7,1.0,5.0,4.0,3.0,10.0,3.0,F1,3.0,2.47,97.4,2.34
male,group B,some high school,standard,18.0,Brazil,0.0,116334.0,Family,15.0,No,On-campus,15.0,83.0,7.7,9.7,2.0,11.3,3.0,5.0,1.0,4.0,F1,3.0,2.88,81.0,2.64
female,group E,associate's degree,free/reduced,22.0,Other,4.0,38133.0,Loan,20.0,No,On-campus,39.0,86.0,8.8,6.4,0.0,4.9,5.0,3.0,1.0,2.0,F1,1.0,2.03,94.5,2.82
female,group C,high school,free/reduced,18.0,Brazil,1.0,145555.0,Family,26.0,Yes,On-campus,27.0,60.0,7.6,2.5,1.0,2.1,7.0,5.0,8.0,1.0,F1,4.0,2.3,85.1,2.0
male,group B,high school,free/reduced,25.0,Brazil,4.0,34939.0,Loan,23.0,No,On-campus,21.0,77.0,9.0,7.1,1.0,6.0,5.0,5.0,6.0,3.0,F1,1.0,2.18,84.9,2.29
male,group B,some high school,standard,18.0,UK,3.0,20781.0,Family,21.0,No,With relatives,5.0,60.0,7.5,6.7,1.0,14.7,4.0,2.0,8.0,2.0,F1,8.0,2.48,91.3,1.98
female,group D,high school,standard,28.0,Nigeria,4.0,134586.0,Family,3.0,No,Off-campus,19.0,68.0,5.5,9.2,4.0,3.4,8.0,9.0,8.0,1.0,F1,1.0,2.2,82.1,1.62
male,group B,associate's degree,standard,18.0,Nigeria,3.0,76700.0,Scholarship,1.0,No,With relatives,36.0,85.0,7.4,7.2,4.0,9.2,4.0,7.0,8.0,1.0,F1,6.0,3.38,107.5,2.53
female,group C,some high school,free/reduced,19.0,Brazil,3.0,47624.0,Loan,29.0,No,With relatives,13.0,65.0,7.5,4.8,2.0,6.5,2.0,6.0,10.0,2.0,F1,7.0,2.06,83.0,1.89
male,group D,some high school,standard,19.0,China,3.0,26823.0,Family,24.0,Yes,With relatives,19.0,80.0,5.9,9.7,4.0,1.1,10.0,5.0,7.0,9.0,F1,10.0,3.24,88.1,2.36
female,group B,associate's degree,standard,29.0,South Korea,3.0,38489.0,Loan,12.0,Yes,Off-campus,32.0,66.0,4.1,8.4,4.0,7.3,6.0,4.0,7.0,5.0,F1,2.0,2.28,83.7,2.23
female,group E,master's degree,free/reduced,23.0,UK,3.0,138555.0,Loan,27.0,Yes,On-campus,28.0,60.0,7.5,7.0,4.0,10.5,2.0,8.0,10.0,9.0,F1,4.0,3.89,82.5,2.65
female,group C,some college,standard,24.0,South Korea,1.0,59961.0,Self-funded,0.0,No,With relatives,39.0,72.0,4.1,4.3,2.0,7.7,3.0,2.0,4.0,8.0,F1,3.0,3.87,90.7,3.13
male,group D,high school,standard,22.0,South Korea,0.0,139664.0,Scholarship,16.0,Yes,With relatives,26.0,60.0,7.2,5.0,2.0,13.1,1.0,8.0,9.0,6.0,F1,9.0,2.45,102.9,2.28
male,group A,some high school,free/reduced,18.0,Nigeria,2.0,49118.0,Scholarship,12.0,No,On-campus,31.0,72.0,4.8,7.4,3.0,4.3,5.0,1.0,2.0,1.0,Other,7.0,3.23,118.6,2.68
female,group C,some college,standard,18.0,Nigeria,0.0,120417.0,Scholarship,3.0,No,With relatives,23.0,95.0,6.8,2.6,3.0,1.3,9.0,10.0,9.0,10.0,F1,2.0,2.06,115.0,2.11
male,group D,some college,standard,20.0,China,3.0,101816.0,Self-funded,6.0,No,Off-campus,16.0,64.0,6.5,4.1,3.0,14.0,2.0,1.0,10.0,5.0,F1,6.0,3.86,115.0,2.56
male,group C,associate's degree,standard,19.0,South Korea,1.0,42263.0,Self-funded,16.0,Yes,With relatives,24.0,60.0,4.1,7.7,3.0,5.7,7.0,3.0,3.0,1.0,Other,9.0,3.05,87.0,2.23
female,group B,bachelor's degree,standard,22.0,South Korea,4.0,33565.0,Scholarship,8.0,Yes,With relatives,5.0,86.0,5.8,5.8,1.0,8.6,5.0,5.0,2.0,7.0,J1,3.0,2.09,90.6,2.27
male,group E,some high school,standard,29.0,Brazil,1.0,40354.0,Self-funded,3.0,Yes,On-campus,25.0,87.0,7.0,5.2,1.0,11.9,2.0,6.0,4.0,10.0,F1,6.0,2.68,83.1,2.86
male,group C,bachelor's degree,standard,27.0,Nigeria,3.0,62951.0,Self-funded,18.0,No,With relatives,5.0,82.0,8.2,3.2,3.0,4.9,8.0,4.0,5.0,8.0,F1,3.0,2.15,111.1,2.2
male,group D,associate's degree,standard,23.0,South Korea,1.0,111179.0,Self-funded,0.0,No,With relatives,14.0,75.0,8.4,5.5,3.0,10.7,6.0,7.0,2.0,8.0,F1,3.0,2.79,82.8,2.51
male,group D,bachelor's degree,free/reduced,24.0,Germany,1.0,43648.0,Scholarship,9.0,Yes,Off-campus,36.0,66.0,6.4,8.2,0.0,2.0,4.0,7.0,1.0,7.0,F1,4.0,3.34,102.3,2.89
female,group D,some high school,standard,21.0,China,3.0,70729.0,Scholarship,3.0,Yes,On-campus,26.0,60.0,7.6,4.1,1.0,4.4,4.0,2.0,10.0,2.0,F1,9.0,2.94,89.9,2.32
male,group B,some college,standard,24.0,Other,1.0,61971.0,Scholarship,8.0,Yes,On-campus,22.0,60.0,5.6,2.0,0.0,2.2,2.0,2.0,5.0,5.0,F1,8.0,2.77,89.7,2.53
male,group C,associate's degree,standard,28.0,Germany,2.0,38658.0,Self-funded,12.0,Yes,Off-campus,36.0,80.0,5.7,7.3,0.0,12.2,3.0,2.0,9.0,4.0,F1,1.0,2.24,119.6,2.52
male,group D,high school,free/reduced,25.0,Germany,2.0,41253.0,Scholarship,13.0,No,With relatives,31.0,68.0,5.0,9.8,4.0,3.3,7.0,2.0,5.0,5.0,F1,1.0,2.49,110.3,2.43
female,group E,bachelor's degree,standard,28.0,Other,1.0,84166.0,Self-funded,9.0,No,On-campus,32.0,83.0,6.8,6.9,2.0,10.8,3.0,9.0,10.0,10.0,F1,7.0,2.2,113.5,2.44
female,group D,high school,standard,18.0,UK,4.0,68563.0,Family,5.0,No,On-campus,22.0,60.0,5.6,3.0,1.0,14.1,5.0,5.0,9.0,9.0,J1,3.0,3.61,102.9,2.46
male,group E,some college,standard,23.0,UK,3.0,46390.0,Self-funded,15.0,No,With relatives,33.0,60.0,4.4,4.6,3.0,7.9,10.0,8.0,10.0,4.0,F1,7.0,2.27,114.8,1.74
male,group D,some high school,standard,25.0,China,2.0,108664.0,Loan,5.0,Yes,With relatives,22.0,74.0,7.4,8.9,3.0,8.1,6.0,5.0,6.0,8.0,F1,9.0,3.19,105.8,2.58
male,group C,associate's degree,standard,22.0,Germany,4.0,71578.0,Scholarship,16.0,No,On-campus,12.0,76.0,7.5,3.9,2.0,6.9,6.0,5.0,3.0,8.0,F1,3.0,2.69,117.8,2.47
male,group E,associate's degree,standard,21.0,South Korea,1.0,99025.0,Scholarship,9.0,No,With relatives,35.0,76.0,5.8,6.9,1.0,4.9,4.0,1.0,4.0,2.0,F1,3.0,2.45,91.3,2.65
female,group B,high school,standard,19.0,Nigeria,4.0,123850.0,Loan,17.0,No,On-campus,38.0,70.0,4.4,5.2,3.0,7.1,6.0,6.0,4.0,6.0,F1,2.0,3.28,103.8,2.64
female,group B,high school,standard,23.0,China,0.0,52658.0,Self-funded,26.0,No,With relatives,11.0,64.0,6.1,3.7,3.0,9.0,3.0,4.0,1.0,5.0,Other,10.0,2.91,107.6,2.48
male,group C,high school,standard,23.0,Brazil,2.0,26852.0,Family,21.0,Yes,With relatives,22.0,60.0,6.2,8.5,4.0,14.8,7.0,3.0,3.0,2.0,J1,1.0,2.8,95.7,2.29
male,group A,some high school,standard,28.0,Other,1.0,147282.0,Loan,17.0,Yes,Off-campus,13.0,60.0,7.3,7.9,0.0,14.1,7.0,6.0,3.0,10.0,F1,9.0,3.19,115.2,2.48
female,group D,some college,free/reduced,18.0,Germany,3.0,114986.0,Loan,2.0,Yes,With relatives,13.0,83.0,5.6,7.3,3.0,12.9,4.0,2.0,1.0,4.0,F1,6.0,2.98,119.2,2.62
female,group B,some high school,standard,26.0,China,1.0,22551.0,Self-funded,19.0,No,Off-campus,12.0,70.0,7.4,3.9,1.0,13.3,2.0,8.0,9.0,7.0,F1,6.0,2.61,99.8,2.17
male,group D,master's degree,standard,29.0,India,3.0,91947.0,Scholarship,26.0,No,With relatives,39.0,80.0,8.4,2.8,2.0,7.0,7.0,1.0,1.0,1.0,F1,8.0,3.12,95.6,2.94
male,group D,high school,standard,28.0,India,1.0,81001.0,Self-funded,20.0,No,On-campus,22.0,60.0,5.2,6.6,4.0,9.9,3.0,9.0,9.0,9.0,F1,5.0,3.34,98.9,2.31
female,group E,some college,standard,23.0,UK,4.0,69159.0,Loan,24.0,No,On-campus,9.0,73.0,8.9,6.4,1.0,13.4,1.0,8.0,1.0,10.0,F1,9.0,2.05,114.1,2.58
female,group C,associate's degree,free/reduced,20.0,Other,4.0,142775.0,Loan,27.0,No,With relatives,18.0,73.0,5.9,3.5,4.0,5.9,2.0,1.0,2.0,1.0,F1,5.0,2.93,105.8,2.6
male,group C,associate's degree,standard,21.0,Nigeria,4.0,71707.0,Scholarship,14.0,No,With relatives,32.0,77.0,5.3,2.4,0.0,14.4,10.0,10.0,2.0,5.0,F1,2.0,2.12,81.8,2.12
